Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType
2017-03-20 11:32:13.488,0.0,TCP  ,192.168.220.16,42305,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 11:00:12.804,0.0,TCP  ,192.168.220.16,52291,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 11:05:06.444,0.0,TCP  ,192.168.220.16,57589,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 11:14:45.651,0.0,TCP  ,192.168.220.16,59404,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:15:50.916,0.167,TCP  ,192.168.100.6,22,192.168.220.16,60985.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 12:39:24.027,0.125,TCP  ,192.168.220.16,52239,192.168.100.4,22.0,13,    3181,1,.AP.S.,0,attacker,bruteForce
2017-03-21 13:19:53.986,1.465,TCP  ,192.168.200.4,22,192.168.220.16,44711.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-21 13:24:11.543,1.875,TCP  ,192.168.200.4,22,192.168.220.16,45214.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-20 11:28:52.094,0.0,UDP  ,192.168.220.16,137,192.168.220.255,137.0,1,      92,1,......,0,attacker,bruteForce
2017-03-20 10:26:15.984,0.999,TCP  ,192.168.220.16,34353,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-20 12:15:54.065,1.771,TCP  ,192.168.100.6,22,192.168.220.16,60997.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-20 10:02:16.493,0.159,TCP  ,192.168.200.4,22,192.168.220.16,36517.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 11:11:38.168,0.996,TCP  ,192.168.220.16,59334,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-20 12:39:11.540,0.007,TCP  ,192.168.220.16,52051,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 10:33:33.749,0.0,TCP  ,192.168.220.16,34391,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 11:32:05.472,0.0,TCP  ,192.168.220.16,42305,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:23:46.910,1.45,TCP  ,192.168.200.4,22,192.168.220.16,45042.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-20 10:48:41.088,0.0,TCP  ,192.168.220.16,39770,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:19:55.560,0.124,TCP  ,192.168.220.16,44712,192.168.200.4,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce
2017-03-20 11:27:16.781,0.999,TCP  ,192.168.220.16,36322,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-20 12:38:47.414,0.705,TCP  ,192.168.100.4,22,192.168.220.16,51857.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:29:54.975,0.997,TCP  ,192.168.220.16,34373,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-21 13:23:23.611,0.157,TCP  ,192.168.200.4,22,192.168.220.16,45032.0,12,    2151,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:46:36.154,0.997,TCP  ,192.168.220.16,39195,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-21 13:20:15.665,0.007,TCP  ,192.168.200.4,22,192.168.220.16,44722.0,5,     462,1,.AP..F,0,victim,bruteForce
2017-03-20 11:03:44.360,0.004,TCP  ,192.168.100.6,80,192.168.220.16,55922.0,2,     132,1,.A...F,0,victim,bruteForce
2017-03-21 13:24:33.452,1.916,TCP  ,192.168.200.4,22,192.168.220.16,45527.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-20 10:02:21.116,0.007,TCP  ,192.168.220.16,36518,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-21 13:19:45.999,0.004,TCP  ,192.168.220.16,44706,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 10:39:33.177,0.0,TCP  ,192.168.220.16,36858,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:21:47.792,0.164,TCP  ,192.168.200.4,22,192.168.220.16,44767.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:47:07.198,0.0,TCP  ,192.168.220.16,39195,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:20:11.748,1.611,TCP  ,192.168.220.16,44721,192.168.200.4,22.0,18,    3791,1,.AP.SF,0,attacker,bruteForce
2017-03-20 10:51:56.090,0.0,TCP  ,192.168.220.16,41480,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:37:30.560,0.012,TCP  ,192.168.100.4,22,192.168.220.16,51442.0,5,     462,1,.AP..F,0,victim,bruteForce
2017-03-20 12:37:17.387,0.027,TCP  ,192.168.100.4,22,192.168.220.16,51395.0,5,     462,1,.AP..F,0,victim,bruteForce
2017-03-20 10:02:44.727,0.008,TCP  ,192.168.220.16,36547,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 12:38:42.237,0.143,TCP  ,192.168.220.16,51830,192.168.100.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:40:35.738,0.0,TCP  ,192.168.220.16,37046,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:21:41.256,1.915,TCP  ,192.168.220.16,44763,192.168.200.4,22.0,16,    3659,1,.AP.SF,0,attacker,bruteForce
2017-03-20 10:01:55.289,0.007,TCP  ,192.168.220.16,35825,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 12:15:38.027,0.132,TCP  ,192.168.220.16,60979,192.168.100.6,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:48:35.383,0.0,UDP  ,192.168.220.16,138,192.168.220.255,138.0,1,     262,1,......,0,attacker,bruteForce
2017-03-20 10:27:52.841,0.0,TCP  ,192.168.220.16,34360,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:56:30.782,1.002,TCP  ,192.168.220.16,46528,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-20 11:34:18.689,0.0,TCP  ,192.168.220.16,44326,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:35:07.638,0.0,TCP  ,192.168.220.16,34697,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:39:33.614,0.006,TCP  ,192.168.100.4,22,192.168.220.16,52255.0,5,     462,1,.AP..F,0,victim,bruteForce
2017-03-21 13:23:46.909,1.451,TCP  ,192.168.220.16,45042,192.168.200.4,22.0,17,    3725,1,.AP.SF,0,attacker,bruteForce
2017-03-20 12:38:11.542,0.005,TCP  ,192.168.220.16,51783,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 12:39:21.267,0.169,TCP  ,192.168.100.4,22,192.168.220.16,52229.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:47:38.749,0.997,TCP  ,192.168.220.16,39702,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-20 10:01:55.414,0.122,TCP  ,192.168.220.16,35847,192.168.200.4,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce
2017-03-21 13:23:02.749,2.079,TCP  ,192.168.220.16,44937,192.168.200.4,22.0,17,    3725,1,.AP.SF,0,attacker,bruteForce
2017-03-21 13:21:29.570,0.162,TCP  ,192.168.200.4,22,192.168.220.16,44758.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 11:15:00.915,0.0,TCP  ,192.168.220.16,59405,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:37:28.169,0.126,TCP  ,192.168.220.16,51442,192.168.100.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:03:31.622,0.121,TCP  ,192.168.220.16,37214,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:30:26.035,0.0,TCP  ,192.168.220.16,34373,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:01:51.091,0.005,TCP  ,192.168.220.16,35823,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 10:41:54.330,0.0,TCP  ,192.168.220.16,37416,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:21:26.892,0.164,TCP  ,192.168.200.4,22,192.168.220.16,44757.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:31:59.892,0.0,TCP  ,192.168.220.16,34384,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 11:14:29.635,0.0,TCP  ,192.168.220.16,59404,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:44:14.749,0.0,TCP  ,192.168.220.16,38204,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:36:32.193,0.071,TCP  ,192.168.220.16,50782,192.168.100.4,22.0,6,     676,1,.AP..F,0,attacker,bruteForce
2017-03-21 13:20:04.297,1.503,TCP  ,192.168.220.16,44717,192.168.200.4,22.0,18,    3791,1,.AP.SF,0,attacker,bruteForce
2017-03-21 13:24:35.502,0.157,TCP  ,192.168.200.4,22,192.168.220.16,45538.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 11:22:42.153,0.0,TCP  ,192.168.220.16,59423,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:49:12.384,0.0,TCP  ,192.168.220.16,40321,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:37:03.192,0.127,TCP  ,192.168.220.16,51255,192.168.100.4,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:01:58.148,0.003,TCP  ,192.168.220.16,35847,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 12:38:25.807,0.224,TCP  ,192.168.220.16,51809,192.168.100.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 11:15:16.947,0.0,TCP  ,192.168.220.16,59405,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:36:53.898,0.014,TCP  ,192.168.220.16,51099,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 10:02:21.232,1.308,TCP  ,192.168.200.4,22,192.168.220.16,36519.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-21 13:23:58.584,1.44,TCP  ,192.168.220.16,45047,192.168.200.4,22.0,16,    3659,1,.AP.SF,0,attacker,bruteForce
2017-03-21 13:21:56.967,0.156,TCP  ,192.168.200.4,22,192.168.220.16,44771.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:02:24.537,1.719,TCP  ,192.168.200.4,22,192.168.220.16,36521.0,16,    2547,1,.AP.SF,0,victim,bruteForce
2017-03-20 12:39:48.482,0.003,TCP  ,192.168.220.16,52423,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 11:01:12.170,0.0,TCP  ,192.168.220.16,53240,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:21:34.360,0.183,TCP  ,192.168.220.16,44760,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:03:27.794,0.009,TCP  ,192.168.200.4,22,192.168.220.16,37211.0,5,     462,1,.AP..F,0,victim,bruteForce
2017-03-20 12:38:44.674,0.181,TCP  ,192.168.100.4,22,192.168.220.16,51850.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 10:28:52.411,1.0,TCP  ,192.168.220.16,34367,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce
2017-03-21 13:19:59.886,0.158,TCP  ,192.168.200.4,22,192.168.220.16,44715.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-21 13:21:18.055,0.16,TCP  ,192.168.200.4,22,192.168.220.16,44753.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 11:21:39.591,0.0,TCP  ,192.168.220.16,59421,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:27:25.569,0.0,TCP  ,192.168.220.16,34359,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:49:19.632,0.0,TCP  ,192.168.220.16,40322,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 10:22:43.982,0.0,TCP  ,192.168.220.16,34199,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:36:24.836,0.028,TCP  ,192.168.220.16,50701,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce
2017-03-20 10:03:38.366,0.159,TCP  ,192.168.220.16,37240,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 10:02:58.602,1.721,TCP  ,192.168.220.16,37192,192.168.200.4,22.0,16,    3659,1,.AP.SF,0,attacker,bruteForce
2017-03-20 10:03:05.747,0.124,TCP  ,192.168.220.16,37197,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-20 11:18:55.926,0.0,TCP  ,192.168.220.16,59414,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-21 13:22:20.028,0.16,TCP  ,192.168.200.4,22,192.168.220.16,44781.0,11,    2085,1,.AP.S.,0,victim,bruteForce
2017-03-20 11:04:19.915,0.0,TCP  ,192.168.220.16,57542,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce
2017-03-20 12:15:50.915,0.124,TCP  ,192.168.220.16,60985,192.168.100.6,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce
2017-03-17 14:16:41.065,0.003,TCP  ,192.168.220.16,56001,192.168.100.6,80.0,5,479,1,.AP.SF,0,attacker,dos
2017-03-20 12:26:30.031,0.005,TCP  ,192.168.100.6,80,192.168.220.16,33327.0,3,206,1,.A..SF,0,victim,dos
2017-03-17 13:05:12.611,0.005,TCP  ,192.168.220.16,38858,192.168.100.6,80.0,5,479,1,.AP.SF,0,attacker,dos
