Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-17 14:46:43.625,0.0,UDP  ,192.168.220.12,52243,DNS,53.0,1,      69,1,......,0,normal,---,---,---
2017-03-20 09:06:07.325,0.0,TCP  ,10776_200,443,192.168.210.5,50725.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 15:50:35.050,0.0,TCP  ,10071_22,80,192.168.220.14,43076.0,1,      66,1,.A...F,0,normal,---,---,---
2017-03-16 11:42:57.780,0.0,TCP  ,10037_68,443,192.168.200.8,49745.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 11:00:29.643,0.318,TCP  ,10086_192,80,192.168.220.9,51592.0,6,    3272,1,.AP...,32,normal,---,---,---
2017-03-17 10:37:29.459,0.004,TCP  ,192.168.210.5,64956,10704_25,80.0,2,     108,1,.A...F,0,normal,---,---,---
2017-03-15 13:07:41.441,0.219,TCP  ,192.168.220.11,59750,10527_3,443.0,15,    3689,1,.AP...,0,normal,---,---,---
2017-03-15 16:03:32.809,0.0,TCP  ,10889_90,443,192.168.220.12,37505.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 16:54:27.555,0.0,TCP  ,10017_40,443,192.168.220.8,39143.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-17 18:38:22.896,0.0,TCP  ,10919_132,443,192.168.220.14,41458.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-15 06:44:37.842,0.0,TCP  ,10194_76,80,192.168.220.6,45058.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 11:46:16.267,0.0,TCP  ,192.168.220.14,34038,10296_238,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 18:25:22.047,0.025,TCP  ,192.168.220.15,42486,11049_48,80.0,3,     684,1,.AP...,0,normal,---,---,---
2017-03-15 11:10:49.383,0.0,TCP  ,10001_232,80,192.168.220.16,35696.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 14:38:07.216,1.71,TCP  ,192.168.220.4,46770,14945_118,80.0,6,    1445,1,.AP.S.,0,normal,---,---,---
2017-03-16 11:33:51.894,0.502,TCP  ,10787_163,443,192.168.220.11,34736.0,6,    5140,1,.AP.S.,32,normal,---,---,---
2017-03-20 09:09:49.825,0.0,TCP  ,12171_255,443,192.168.220.6,58341.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 16:09:31.244,0.0,TCP  ,192.168.220.13,57920,10056_57,443.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 14:33:16.142,0.002,UDP  ,192.168.220.10,44130,DNS,53.0,2,     176,1,......,0,normal,---,---,---
2017-03-17 11:01:49.750,0.0,TCP  ,10001_232,443,192.168.220.8,47026.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-15 11:26:45.980,0.0,TCP  ,192.168.220.16,36718,10001_232,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-20 11:21:53.056,0.0,TCP  ,14451_163,443,192.168.220.10,51109.0,2,     449,1,.AP...,32,normal,---,---,---
2017-03-17 10:13:15.831,0.057,TCP  ,13699_120,443,192.168.200.4,38351.0,19,   53712,1,.AP.S.,32,normal,---,---,---
2017-03-17 14:30:00.906,0.0,TCP  ,10056_88,443,192.168.220.16,50289.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-16 08:32:50.154,0.029,TCP  ,192.168.220.7,46152,12289_97,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-21 13:59:34.449,0.019,TCP  ,10784_4,443,192.168.220.13,52733.0,4,     295,1,.AP..F,32,normal,---,---,---
2017-03-18 07:31:35.873,0.002,TCP  ,192.168.220.14,49043,192.168.100.5,445.0,2,     174,1,.AP...,0,normal,---,---,---
2017-03-16 09:09:07.910,0.0,TCP  ,10527_1,80,192.168.220.4,59404.0,1,      66,1,.A...F,32,normal,---,---,---
2017-03-21 06:25:32.502,0.0,TCP  ,10001_232,443,192.168.220.4,52924.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-19 10:05:39.838,0.0,TCP  ,10081_164,80,192.168.200.8,49196.0,1,      54,1,.A...F,0,normal,---,---,---
2017-03-15 11:42:51.340,0.0,TCP  ,10311_147,443,192.168.220.12,45296.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 15:33:36.778,0.001,TCP  ,10593_173,443,192.168.200.4,36465.0,2,     132,1,.A...F,32,normal,---,---,---
2017-03-15 15:23:24.235,0.0,UDP  ,DNS,53,192.168.200.4,46559.0,2,     226,1,......,0,normal,---,---,---
2017-03-18 18:11:21.729,1.259,TCP  ,192.168.220.7,55146,10124_1,80.0,3,     206,1,.A..S.,0,normal,---,---,---
2017-03-20 10:04:24.439,0.0,TCP  ,192.168.210.5,61681,12908_207,443.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-16 11:49:48.907,0.017,TCP  ,10796_101,443,192.168.220.7,45445.0,2,     132,1,.A...F,32,normal,---,---,---
2017-03-16 13:13:17.029,0.0,TCP  ,192.168.200.8,61329,12840_100,443.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-21 21:29:09.939,0.005,TCP  ,192.168.200.5,46398,192.168.100.5,445.0,2,     174,1,.AP...,0,normal,---,---,---
2017-03-16 18:10:10.040,0.0,TCP  ,192.168.210.5,57522,11353_244,80.0,1,      55,1,.A....,0,normal,---,---,---
2017-03-16 18:13:59.734,0.0,TCP  ,10077_154,80,192.168.220.7,45345.0,1,      78,1,.A....,32,normal,---,---,---
2017-03-20 08:48:25.591,2.001,TCP  ,10091_2,80,192.168.220.13,40217.0,3,    1295,1,.AP...,32,normal,---,---,---
2017-03-21 11:26:45.975,0.033,TCP  ,192.168.220.11,60820,10199_14,80.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-15 20:32:47.953,0.0,TCP  ,192.168.100.5,445,192.168.200.5,39978.0,1,      70,1,.AP...,0,normal,---,---,---
2017-03-15 15:40:09.422,0.054,TCP  ,10784_4,443,192.168.220.11,44622.0,4,     295,1,.AP..F,32,normal,---,---,---
2017-03-21 15:40:30.086,0.0,TCP  ,10056_163,443,192.168.220.14,55946.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-21 16:50:16.249,0.0,TCP  ,11540_144,443,192.168.220.15,53801.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-16 11:12:12.312,0.0,TCP  ,10100_133,443,192.168.220.4,37183.0,1,      54,1,.A...F,32,normal,---,---,---
2017-03-15 16:22:28.855,0.0,UDP  ,192.168.200.4,5353,10008_251,5353.0,1,     147,1,......,0,normal,---,---,---
2017-03-17 16:16:04.898,0.166,TCP  ,10003_195,80,192.168.220.9,39394.0,3,     909,1,.AP.S.,32,normal,---,---,---
2017-03-16 06:43:04.490,0.034,TCP  ,192.168.220.6,37543,10056_149,443.0,35,    3075,1,.AP...,0,normal,---,---,---
2017-03-20 08:18:35.750,0.026,TCP  ,10090_196,80,192.168.220.10,35125.0,2,     132,1,.A...F,0,normal,---,---,---
2017-03-19 11:56:24.415,0.0,TCP  ,10081_164,80,192.168.200.8,56107.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-16 10:45:46.150,0.0,TCP  ,11294_119,443,192.168.220.13,43777.0,1,      66,1,.A....,32,normal,---,---,---
2017-03-18 18:37:37.051,0.008,TCP  ,10078_100,443,192.168.220.14,40286.0,2,     873,1,.AP...,0,normal,---,---,---
2017-03-20 09:20:52.276,0.136,TCP  ,192.168.220.9,35689,10972_4,443.0,3,    1838,1,.AP...,0,normal,---,---,---
2017-03-20 07:28:19.489,0.0,TCP  ,10081_164,443,192.168.220.4,39436.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-21 13:01:39.378,0.0,TCP  ,192.168.220.16,40224,10077_156,80.0,1,      66,1,.A....,0,normal,---,---,---
2017-03-17 14:37:35.891,1.26,TCP  ,192.168.220.14,53826,11153_186,443.0,11,    1568,1,.AP.S.,0,normal,---,---,---
2017-03-15 10:28:37.234,0.018,TCP  ,192.168.220.8,33851,10082_73,443.0,3,     229,1,.AP..F,0,normal,---,---,---
2017-03-20 11:28:52.094,0.0,UDP  ,192.168.220.16,137,192.168.220.255,137.0,1,      92,1,......,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 12:38:44.674,0.181,TCP  ,192.168.100.4,22,192.168.220.16,51850.0,11,    2085,1,.AP.S.,0,victim,bruteForce,32,192.168.100.4
2017-03-21 13:21:18.055,0.16,TCP  ,192.168.200.4,22,192.168.220.16,44753.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 12:39:21.267,0.169,TCP  ,192.168.100.4,22,192.168.220.16,52229.0,11,    2085,1,.AP.S.,0,victim,bruteForce,32,192.168.100.4
2017-03-20 10:33:33.749,0.0,TCP  ,192.168.220.16,34391,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 12:37:30.560,0.012,TCP  ,192.168.100.4,22,192.168.220.16,51442.0,5,     462,1,.AP..F,0,victim,bruteForce,32,192.168.100.4
2017-03-20 11:15:00.915,0.0,TCP  ,192.168.220.16,59405,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 12:15:38.027,0.132,TCP  ,192.168.220.16,60979,192.168.100.6,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce,30,---
2017-03-21 13:23:02.749,2.079,TCP  ,192.168.220.16,44937,192.168.200.4,22.0,17,    3725,1,.AP.SF,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 10:02:21.116,0.007,TCP  ,192.168.220.16,36518,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,25,192.168.200.4
2017-03-21 13:24:11.543,1.875,TCP  ,192.168.200.4,22,192.168.220.16,45214.0,16,    2547,1,.AP.SF,0,victim,bruteForce,39,192.168.200.4
2017-03-20 10:39:33.177,0.0,TCP  ,192.168.220.16,36858,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:48:41.088,0.0,TCP  ,192.168.220.16,39770,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:23:46.909,1.451,TCP  ,192.168.220.16,45042,192.168.200.4,22.0,17,    3725,1,.AP.SF,0,attacker,bruteForce,39,192.168.200.4
2017-03-21 13:22:20.028,0.16,TCP  ,192.168.200.4,22,192.168.220.16,44781.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-21 13:20:15.665,0.007,TCP  ,192.168.200.4,22,192.168.220.16,44722.0,5,     462,1,.AP..F,0,victim,bruteForce,39,192.168.200.4
2017-03-20 10:40:35.738,0.0,TCP  ,192.168.220.16,37046,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:47:38.749,0.997,TCP  ,192.168.220.16,39702,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:26:15.984,0.999,TCP  ,192.168.220.16,34353,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:56:30.782,1.002,TCP  ,192.168.220.16,46528,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:02:58.602,1.721,TCP  ,192.168.220.16,37192,192.168.200.4,22.0,16,    3659,1,.AP.SF,0,attacker,bruteForce,25,192.168.200.4
2017-03-21 13:19:59.886,0.158,TCP  ,192.168.200.4,22,192.168.220.16,44715.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 12:39:24.027,0.125,TCP  ,192.168.220.16,52239,192.168.100.4,22.0,13,    3181,1,.AP.S.,0,attacker,bruteForce,32,192.168.100.4
2017-03-20 11:21:39.591,0.0,TCP  ,192.168.220.16,59421,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 12:38:11.542,0.005,TCP  ,192.168.220.16,51783,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,32,192.168.100.4
2017-03-20 10:35:07.638,0.0,TCP  ,192.168.220.16,34697,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:29:54.975,0.997,TCP  ,192.168.220.16,34373,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:27:52.841,0.0,TCP  ,192.168.220.16,34360,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:20:11.748,1.611,TCP  ,192.168.220.16,44721,192.168.200.4,22.0,18,    3791,1,.AP.SF,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 10:03:27.794,0.009,TCP  ,192.168.200.4,22,192.168.220.16,37211.0,5,     462,1,.AP..F,0,victim,bruteForce,25,192.168.200.4
2017-03-20 12:15:54.065,1.771,TCP  ,192.168.100.6,22,192.168.220.16,60997.0,16,    2547,1,.AP.SF,0,victim,bruteForce,30,---
2017-03-21 13:19:55.560,0.124,TCP  ,192.168.220.16,44712,192.168.200.4,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce,39,192.168.200.4
2017-03-21 13:23:58.584,1.44,TCP  ,192.168.220.16,45047,192.168.200.4,22.0,16,    3659,1,.AP.SF,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 11:11:38.168,0.996,TCP  ,192.168.220.16,59334,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:01:55.289,0.007,TCP  ,192.168.220.16,35825,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,25,192.168.200.4
2017-03-20 12:38:42.237,0.143,TCP  ,192.168.220.16,51830,192.168.100.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,32,192.168.100.4
2017-03-20 10:03:31.622,0.121,TCP  ,192.168.220.16,37214,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,25,192.168.200.4
2017-03-21 13:21:34.360,0.183,TCP  ,192.168.220.16,44760,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 10:01:55.414,0.122,TCP  ,192.168.220.16,35847,192.168.200.4,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce,25,192.168.200.4
2017-03-20 12:15:50.916,0.167,TCP  ,192.168.100.6,22,192.168.220.16,60985.0,11,    2085,1,.AP.S.,0,victim,bruteForce,30,---
2017-03-20 11:03:44.360,0.004,TCP  ,192.168.100.6,80,192.168.220.16,55922.0,2,     132,1,.A...F,0,victim,bruteForce,27,192.168.200.8
2017-03-20 12:37:03.192,0.127,TCP  ,192.168.220.16,51255,192.168.100.4,22.0,12,    3115,1,.AP.S.,0,attacker,bruteForce,32,192.168.100.4
2017-03-21 13:23:23.611,0.157,TCP  ,192.168.200.4,22,192.168.220.16,45032.0,12,    2151,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 10:31:59.892,0.0,TCP  ,192.168.220.16,34384,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 11:14:45.651,0.0,TCP  ,192.168.220.16,59404,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 11:05:06.444,0.0,TCP  ,192.168.220.16,57589,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 12:36:32.193,0.071,TCP  ,192.168.220.16,50782,192.168.100.4,22.0,6,     676,1,.AP..F,0,attacker,bruteForce,32,192.168.100.4
2017-03-21 13:21:47.792,0.164,TCP  ,192.168.200.4,22,192.168.220.16,44767.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 12:38:25.807,0.224,TCP  ,192.168.220.16,51809,192.168.100.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,32,192.168.100.4
2017-03-21 13:21:41.256,1.915,TCP  ,192.168.220.16,44763,192.168.200.4,22.0,16,    3659,1,.AP.SF,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 11:14:29.635,0.0,TCP  ,192.168.220.16,59404,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 12:15:50.915,0.124,TCP  ,192.168.220.16,60985,192.168.100.6,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,30,---
2017-03-20 10:28:52.411,1.0,TCP  ,192.168.220.16,34367,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 11:32:13.488,0.0,TCP  ,192.168.220.16,42305,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:21:26.892,0.164,TCP  ,192.168.200.4,22,192.168.220.16,44757.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 11:27:16.781,0.999,TCP  ,192.168.220.16,36322,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:01:51.091,0.005,TCP  ,192.168.220.16,35823,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,25,192.168.200.4
2017-03-20 12:36:53.898,0.014,TCP  ,192.168.220.16,51099,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,32,192.168.100.4
2017-03-20 10:01:58.148,0.003,TCP  ,192.168.220.16,35847,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,25,192.168.200.4
2017-03-20 10:02:24.537,1.719,TCP  ,192.168.200.4,22,192.168.220.16,36521.0,16,    2547,1,.AP.SF,0,victim,bruteForce,25,192.168.200.4
2017-03-20 10:03:05.747,0.124,TCP  ,192.168.220.16,37197,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,25,192.168.200.4
2017-03-21 13:24:35.502,0.157,TCP  ,192.168.200.4,22,192.168.220.16,45538.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 12:39:33.614,0.006,TCP  ,192.168.100.4,22,192.168.220.16,52255.0,5,     462,1,.AP..F,0,victim,bruteForce,32,192.168.100.4
2017-03-20 12:39:48.482,0.003,TCP  ,192.168.220.16,52423,192.168.100.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,32,192.168.100.4
2017-03-20 12:37:28.169,0.126,TCP  ,192.168.220.16,51442,192.168.100.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,32,192.168.100.4
2017-03-20 10:02:44.727,0.008,TCP  ,192.168.220.16,36547,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,25,192.168.200.4
2017-03-20 12:37:17.387,0.027,TCP  ,192.168.100.4,22,192.168.220.16,51395.0,5,     462,1,.AP..F,0,victim,bruteForce,32,192.168.100.4
2017-03-20 10:44:14.749,0.0,TCP  ,192.168.220.16,38204,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:20:04.297,1.503,TCP  ,192.168.220.16,44717,192.168.200.4,22.0,18,    3791,1,.AP.SF,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 10:46:36.154,0.997,TCP  ,192.168.220.16,39195,192.168.200.8,22.0,2,     148,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 11:00:12.804,0.0,TCP  ,192.168.220.16,52291,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 11:18:55.926,0.0,TCP  ,192.168.220.16,59414,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:19:45.999,0.004,TCP  ,192.168.220.16,44706,192.168.200.4,22.0,5,     610,1,.AP..F,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 10:02:16.493,0.159,TCP  ,192.168.200.4,22,192.168.220.16,36517.0,11,    2085,1,.AP.S.,0,victim,bruteForce,25,192.168.200.4
2017-03-20 10:22:43.982,0.0,TCP  ,192.168.220.16,34199,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:02:21.232,1.308,TCP  ,192.168.200.4,22,192.168.220.16,36519.0,16,    2547,1,.AP.SF,0,victim,bruteForce,25,192.168.200.4
2017-03-20 11:32:05.472,0.0,TCP  ,192.168.220.16,42305,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:23:46.910,1.45,TCP  ,192.168.200.4,22,192.168.220.16,45042.0,16,    2547,1,.AP.SF,0,victim,bruteForce,39,192.168.200.4
2017-03-21 13:21:29.570,0.162,TCP  ,192.168.200.4,22,192.168.220.16,44758.0,11,    2085,1,.AP.S.,0,victim,bruteForce,39,192.168.200.4
2017-03-20 10:49:12.384,0.0,TCP  ,192.168.220.16,40321,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-21 13:19:53.986,1.465,TCP  ,192.168.200.4,22,192.168.220.16,44711.0,16,    2547,1,.AP.SF,0,victim,bruteForce,39,192.168.200.4
2017-03-20 11:34:18.689,0.0,TCP  ,192.168.220.16,44326,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
2017-03-20 10:03:38.366,0.159,TCP  ,192.168.220.16,37240,192.168.200.4,22.0,11,    3049,1,.AP.S.,0,attacker,bruteForce,25,192.168.200.4
2017-03-21 13:21:45.497,0.131,TCP  ,192.168.220.16,44766,192.168.200.4,22.0,13,    3181,1,.AP.S.,0,attacker,bruteForce,39,192.168.200.4
2017-03-20 11:01:12.170,0.0,TCP  ,192.168.220.16,53240,192.168.200.8,22.0,1,      74,1,....S.,0,attacker,bruteForce,27,192.168.200.8
